Red Dead Redemption 2,97,8.5,PlayStation 4,October 26, 2018,/game/playstation-4/red-dead-redemption-2,https://static.metacritic.com/images/products/games/8/f5b1cbf43a118c429f67022f9e93b41d-98.jpg
Grand Theft Auto V,97,8.4,PlayStation 4,November 18, 2014,/game/playstation-4/grand-theft-auto-v,https://static.metacritic.com/images/products/games/7/a149682ad949afdce7d25ee90d0ef848-98.jpg
Persona 5 Royal,95,8.4,PlayStation 4,March 31, 2020,/game/playstation-4/persona-5-royal,https://static.metacritic.com/images/products/games/2/1d340c792338fa16de96bd8b60d3cab5-98.jpg
The Last of Us Remastered,95,9.2,PlayStation 4,July 29, 2014,/game/playstation-4/the-last-of-us-remastered,https://static.metacritic.com/images/products/games/6/dcb5d2f7d2f23d0d4aa8fd809af6b12e-98.jpg
God of War,94,9.2,PlayStation 4,April 20, 2018,/game/playstation-4/god-of-war,https://static.metacritic.com/images/products/games/8/452903806353a11fbecc0089ac94ef13-98.jpg
The Last of Us Part II,93,5.7,PlayStation 4,June 19, 2020,/game/playstation-4/the-last-of-us-part-ii,https://static.metacritic.com/images/products/games/3/976dc172a149f212d4b059e6eede1900-98.jpg
Persona 5,93,8.7,PlayStation 4,April 4, 2017,/game/playstation-4/persona-5,https://static.metacritic.com/images/products/games/5/47dc3e3e49c9cbcf53beefcedcdd6cea-98.jpg
Metal Gear Solid V: The Phantom Pain,93,8.2,PlayStation 4,September 1, 2015,/game/playstation-4/metal-gear-solid-v-the-phantom-pain,https://static.metacritic.com/images/products/games/5/92ba4685e153548a1d1ea590b8432b29-98.jpg
Uncharted 4: A Thief's End,93,8.7,PlayStation 4,May 10, 2016,/game/playstation-4/uncharted-4-a-thiefs-end,https://static.metacritic.com/images/products/games/2/bccdebd6ae21b1a35353b6d9f27af1a5-98.jpg
Journey,92,8.3,PlayStation 4,July 21, 2015,/game/playstation-4/journey,https://static.metacritic.com/images/products/games/0/2efadc9d1e6e95e69da629f43895d2cf-98.jpg
Bloodborne,92,8.8,PlayStation 4,March 24, 2015,/game/playstation-4/bloodborne,https://static.metacritic.com/images/products/games/5/d31120073f909d2c034c09f91e7a5073-98.jpg
Undertale,92,7.1,PlayStation 4,August 15, 2017,/game/playstation-4/undertale,https://static.metacritic.com/images/products/games/1/385b89f553f016616c5365cdc0f9b6f7-98.jpg
The Witcher 3: Wild Hunt,92,9.2,PlayStation 4,May 19, 2015,/game/playstation-4/the-witcher-3-wild-hunt,https://static.metacritic.com/images/products/games/2/425471cad15e750c9d5c3c50e9604e38-98.jpg
Divinity: Original Sin II - Definitive Edition,92,7.9,PlayStation 4,August 31, 2018,/game/playstation-4/divinity-original-sin-ii---definitive-edition,https://static.metacritic.com/images/products/games/2/9a871bea6579f599afb60a8843ff7f52-98.jpg
Final Fantasy XIV: Shadowbringers,91,8.4,PlayStation 4,July 2, 2019,/game/playstation-4/final-fantasy-xiv-shadowbringers,https://static.metacritic.com/images/products/games/8/1a8d9f7ab605ba769f6822604892c0af-98.jpg
Shadow of the Colossus,91,7.8,PlayStation 4,February 6, 2018,/game/playstation-4/shadow-of-the-colossus,https://static.metacritic.com/images/products/games/8/b8fa7cf05ab8da759d053fcba9df9f75-98.jpg
The Witcher 3: Wild Hunt - Blood and Wine,91,9.1,PlayStation 4,May 30, 2016,/game/playstation-4/the-witcher-3-wild-hunt---blood-and-wine,https://static.metacritic.com/images/products/games/0/9b1b2e62c39046ca8397075fb9ab5111-98.jpg
Celeste,91,7.4,PlayStation 4,January 25, 2018,/game/playstation-4/celeste,https://static.metacritic.com/images/products/games/9/26adcc65f024318b4989f515662022b6-98.jpg
INSIDE,91,8.4,PlayStation 4,August 23, 2016,/game/playstation-4/inside,https://static.metacritic.com/images/products/games/6/c581ae173ec05ec8990c05374f7b117d-98.jpg
NieR: Automata - Game of the YoRHa Edition,91,8.7,PlayStation 4,February 26, 2019,/game/playstation-4/nier-automata---game-of-the-yorha-edition,https://static.metacritic.com/images/products/games/5/2ac66c0e4df312700c6744ce932d98dc-98.jpg
Resident Evil 2,91,8.9,PlayStation 4,January 25, 2019,/game/playstation-4/resident-evil-2,https://static.metacritic.com/images/products/games/6/fb1f200c3315a838e3ae1aa4f1f77045-98.jpg
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,91,8.1,PlayStation 4,December 4, 2020,/game/playstation-4/dragon-quest-xi-s-echoes-of-an-elusive-age---definitive-edition,https://static.metacritic.com/images/products/games/7/0a61aadae1aac489efe541389c7cffee-98.jpg
flower,91,7.3,PlayStation 4,November 15, 2013,/game/playstation-4/flower,https://static.metacritic.com/images/products/games/0/8d46b88cfce157badeff5d905341985c-98.jpg
Diablo III: Ultimate Evil Edition,90,7.9,PlayStation 4,August 19, 2014,/game/playstation-4/diablo-iii-ultimate-evil-edition,https://static.metacritic.com/images/products/games/5/1092744fa790bc2fa0cd1a0cd59d201b-98.jpg
Overwatch,90,6.4,PlayStation 4,May 23, 2016,/game/playstation-4/overwatch,https://static.metacritic.com/images/products/games/6/038c915512e6003710577e71905696aa-98.jpg
Shovel Knight,90,7.7,PlayStation 4,April 21, 2015,/game/playstation-4/shovel-knight,https://static.metacritic.com/images/products/games/3/4dd79ee1b7200558c3c43c9a03f362c1-98.jpg
Rayman Legends,90,8.4,PlayStation 4,February 18, 2014,/game/playstation-4/rayman-legends,https://static.metacritic.com/images/products/games/8/0d1b9de3d1d0c1413aa5170cbd0a9d39-98.jpg
Fez,90,6.4,PlayStation 4,March 25, 2014,/game/playstation-4/fez,https://static.metacritic.com/images/products/games/8/018c842f7529a75fa3d579f37abf3b71-98.jpg
Monster Hunter: World,90,7.7,PlayStation 4,January 26, 2018,/game/playstation-4/monster-hunter-world,https://static.metacritic.com/images/products/games/7/0245d66dc92ae7aaf60092cba62f1e7b-98.jpg
Tales From The Borderlands: Episode 5 - The Vault of the Traveler,90,7.9,PlayStation 4,October 20, 2015,/game/playstation-4/tales-from-the-borderlands-episode-5---the-vault-of-the-traveler,https://static.metacritic.com/images/products/games/9/6717a741a87ed75b9e7b0a7badf3aed7-98.jpg
The Witcher 3: Wild Hunt - Hearts of Stone,90,9.0,PlayStation 4,October 12, 2015,/game/playstation-4/the-witcher-3-wild-hunt---hearts-of-stone,https://static.metacritic.com/images/products/games/7/6a8d43be84e5a8f4ae645613a2756f60-98.jpg
Sekiro: Shadows Die Twice,90,8.2,PlayStation 4,March 22, 2019,/game/playstation-4/sekiro-shadows-die-twice,https://static.metacritic.com/images/products/games/6/a03dc14041cf90fe791985271f5e059b-98.jpg
Astro Bot: Rescue Mission,90,8.9,PlayStation 4,October 2, 2018,/game/playstation-4/astro-bot-rescue-mission,https://static.metacritic.com/images/products/games/4/70fd18c7d21daea37f03624d071d4db6-98.jpg
Monster Hunter: World - Iceborne,89,8.5,PlayStation 4,September 6, 2019,/game/playstation-4/monster-hunter-world---iceborne,https://static.metacritic.com/images/products/games/0/a620e8f4249dde4c64ec0ff2828672f6-98.jpg
Rez Infinite,89,7.6,PlayStation 4,October 13, 2016,/game/playstation-4/rez-infinite,https://static.metacritic.com/images/products/games/0/0067fb9d1735f7203cacee646bda856a-98.jpg
Titanfall 2,89,8.5,PlayStation 4,October 28, 2016,/game/playstation-4/titanfall-2,https://static.metacritic.com/images/products/games/2/fae7cd4043af9a7f170bf9c93d26f501-98.jpg
Dark Souls III,89,8.9,PlayStation 4,April 12, 2016,/game/playstation-4/dark-souls-iii,https://static.metacritic.com/images/products/games/4/ff728f9a503208cfe52254e6224be46a-98.jpg
Tetris Effect,89,7.6,PlayStation 4,November 9, 2018,/game/playstation-4/tetris-effect,https://static.metacritic.com/images/products/games/2/19fb7c752a424e72a87156fd248f87d7-98.jpg
It Takes Two,89,9.1,PlayStation 4,March 26, 2021,/game/playstation-4/it-takes-two,https://static.metacritic.com/images/products/games/3/5ac52fd4a9a2b9d739064798db8ad20f-98.jpg
Final Fantasy XIV: Stormblood,89,8.7,PlayStation 4,June 20, 2017,/game/playstation-4/final-fantasy-xiv-stormblood,https://static.metacritic.com/images/products/games/8/ab19338149682bf32a2378575586652e-98.jpg
Bastion,89,7.7,PlayStation 4,April 7, 2015,/game/playstation-4/bastion,https://static.metacritic.com/images/products/games/7/eb82c6b59e4553979237036ff085f9b7-98.jpg
Apex Legends,89,6.8,PlayStation 4,February 4, 2019,/game/playstation-4/apex-legends,https://static.metacritic.com/images/products/games/1/d9661dc3c5f9505e2af27aecf9e4e8f8-98.jpg
Dreams,89,8.7,PlayStation 4,February 14, 2020,/game/playstation-4/dreams,https://static.metacritic.com/images/products/games/7/414587fc71d02964cacd4d79c89e9226-98.jpg
Dragon Age: Inquisition,89,7.4,PlayStation 4,November 18, 2014,/game/playstation-4/dragon-age-inquisition,https://static.metacritic.com/images/products/games/7/fc41373dcce81139a504f7ec37c81501-98.jpg
Tony Hawk's Pro Skater 1 + 2,89,8.8,PlayStation 4,September 4, 2020,/game/playstation-4/tony-hawks-pro-skater-1-+-2,https://static.metacritic.com/images/products/games/0/3503b0e6d7aed2aa759808774b4ed0b5-98.jpg
Battlefield 1,89,7.9,PlayStation 4,October 18, 2016,/game/playstation-4/battlefield-1,https://static.metacritic.com/images/products/games/1/e88153ef354ef87717d8fa4bfc52e427-98.jpg
Horizon Zero Dawn,89,8.4,PlayStation 4,February 28, 2017,/game/playstation-4/horizon-zero-dawn,https://static.metacritic.com/images/products/games/6/e5cfe9ceea82fd605822b1eb90ff3e73-98.jpg
Minecraft: PlayStation 4 Edition,89,6.8,PlayStation 4,September 3, 2014,/game/playstation-4/minecraft-playstation-4-edition,https://static.metacritic.com/images/products/games/5/b9e980273da77c20a0a6b922b95dd857-98.jpg
What Remains of Edith Finch,88,8.3,PlayStation 4,April 25, 2017,/game/playstation-4/what-remains-of-edith-finch,https://static.metacritic.com/images/products/games/4/964df5f603d32600674e6b43703a1e0f-98.jpg
The Binding of Isaac: Rebirth,88,7.8,PlayStation 4,November 4, 2014,/game/playstation-4/the-binding-of-isaac-rebirth,https://static.metacritic.com/images/products/games/7/5d2ba077281975b78bbf07d4ef768877-98.jpg
NieR: Automata,88,8.9,PlayStation 4,March 7, 2017,/game/playstation-4/nier-automata,https://static.metacritic.com/images/products/games/2/199299cb57b2575571d52793cc02ca2d-98.jpg
Rise of the Tomb Raider: 20 Year Celebration,88,8.0,PlayStation 4,October 11, 2016,/game/playstation-4/rise-of-the-tomb-raider-20-year-celebration,https://static.metacritic.com/images/products/games/7/8f5162e7ae59cd595c82a1833029967a-98.jpg
NBA 2K17,88,6.2,PlayStation 4,September 16, 2016,/game/playstation-4/nba-2k17,https://static.metacritic.com/images/products/games/5/69e511eacd3793a9638b5dae38697af9-98.jpg
Dishonored 2,88,7.9,PlayStation 4,November 10, 2016,/game/playstation-4/dishonored-2,https://static.metacritic.com/images/products/games/4/8e507e31abccfeea0171e7d93a8da1a4-98.jpg
Injustice 2: Legendary Edition,88,7.6,PlayStation 4,March 27, 2018,/game/playstation-4/injustice-2-legendary-edition,https://static.metacritic.com/images/products/games/8/0001363b4e55d7ae506b471ae57b17d2-98.jpg
Divinity: Original Sin Enhanced Edition,88,8.0,PlayStation 4,October 27, 2015,/game/playstation-4/divinity-original-sin-enhanced-edition,https://static.metacritic.com/images/products/games/4/553f93f9e5e531a406f50bb6bdfd84ff-98.jpg
Devil May Cry 5,88,8.4,PlayStation 4,March 8, 2019,/game/playstation-4/devil-may-cry-5,https://static.metacritic.com/images/products/games/8/59e75f5dbf2ac27a96391eed0e125bde-98.jpg
Slay the Spire,88,6.9,PlayStation 4,May 21, 2019,/game/playstation-4/slay-the-spire,https://static.metacritic.com/images/products/games/7/ba921ee3e83012699ce7ee639c12677a-98.jpg
Owlboy,88,6.7,PlayStation 4,April 10, 2018,/game/playstation-4/owlboy,https://static.metacritic.com/images/products/games/1/c96975f91f3a34ae3358c800598a9b22-98.jpg
Keep Talking and Nobody Explodes,88,7.0,PlayStation 4,October 13, 2016,/game/playstation-4/keep-talking-and-nobody-explodes,https://static.metacritic.com/images/products/games/4/7a03c378e598d2b6cbe01b7e007f0a4f-98.jpg
The Talos Principle: Deluxe Edition,88,8.1,PlayStation 4,October 13, 2015,/game/playstation-4/the-talos-principle-deluxe-edition,https://static.metacritic.com/images/products/games/7/7e3dfc375aae43fd21e0a1a684e4eb90-98.jpg
Pistol Whip,88,7.0,PlayStation 4,July 30, 2020,/game/playstation-4/pistol-whip,https://static.metacritic.com/images/products/games/0/4bfabdfe73117cf5d4a10e5702190156-98.jpg
Nex Machina: Death Machine,88,8.0,PlayStation 4,June 20, 2017,/game/playstation-4/nex-machina-death-machine,https://static.metacritic.com/images/products/games/4/37d399b8c81e1e63acddea5c0c61104f-98.jpg
Nioh,88,8.3,PlayStation 4,February 7, 2017,/game/playstation-4/nioh,https://static.metacritic.com/images/products/games/4/d57991d86d5a92a97b73f955a883b9d5-98.jpg
Kentucky Route Zero: TV Edition,88,6.2,PlayStation 4,January 28, 2020,/game/playstation-4/kentucky-route-zero-tv-edition,https://static.metacritic.com/images/products/games/9/031aad8a91349c3ff632184bfe5b05dd-98.jpg
Guacamelee! Super Turbo Championship Edition,87,7.7,PlayStation 4,July 1, 2014,/game/playstation-4/guacamelee!-super-turbo-championship-edition,https://static.metacritic.com/images/products/games/0/1ee61d2c25e273f79e45dec39abbe10c-98.jpg
Frostpunk: Console Edition,87,8.0,PlayStation 4,October 11, 2019,/game/playstation-4/frostpunk-console-edition,https://static.metacritic.com/images/products/games/0/7002b2d5bf1d74ccc93bedfacc20e048-98.jpg
Bloodborne: The Old Hunters,87,8.7,PlayStation 4,November 24, 2015,/game/playstation-4/bloodborne-the-old-hunters,https://static.metacritic.com/images/products/games/7/6937f77cb624399df1b7a97cbb407ece-98.jpg
XCOM 2,87,7.3,PlayStation 4,September 27, 2016,/game/playstation-4/xcom-2,https://static.metacritic.com/images/products/games/7/e47c254b6e8be1269a80857ae8ff41ac-98.jpg
Injustice 2,87,8.0,PlayStation 4,May 16, 2017,/game/playstation-4/injustice-2,https://static.metacritic.com/images/products/games/6/db6a7c7456f92e684bf8885b6defe7d0-98.jpg
The Witness,87,7.2,PlayStation 4,January 26, 2016,/game/playstation-4/the-witness,https://static.metacritic.com/images/products/games/1/f218526e8cf0179eda1d9ee7dc38ec10-98.jpg
Dead Cells,87,7.7,PlayStation 4,August 7, 2018,/game/playstation-4/dead-cells,https://static.metacritic.com/images/products/games/1/2f089f7c9f32e527125846736fa9783d-98.jpg
Sid Meier's Civilization VI,87,6.9,PlayStation 4,November 22, 2019,/game/playstation-4/sid-meiers-civilization-vi,https://static.metacritic.com/images/products/games/6/77690f29c2bebd383547c672f32c5560-98.jpg
Final Fantasy VII Remake,87,8.1,PlayStation 4,April 10, 2020,/game/playstation-4/final-fantasy-vii-remake,https://static.metacritic.com/images/products/games/5/40531eb3a9013197e4bf63dbfb866719-98.jpg
Street Fighter V: Arcade Edition,87,6.5,PlayStation 4,January 16, 2018,/game/playstation-4/street-fighter-v-arcade-edition,https://static.metacritic.com/images/products/games/9/c3ff9db6a6ad91873bee0c36175f9c5d-98.jpg
Night in the Woods,87,7.1,PlayStation 4,February 21, 2017,/game/playstation-4/night-in-the-woods,https://static.metacritic.com/images/products/games/4/d4b4b8dea97e1b18b9147c49cfbf5a37-98.jpg
Dragon Ball FighterZ,87,8.0,PlayStation 4,January 26, 2018,/game/playstation-4/dragon-ball-fighterz,https://static.metacritic.com/images/products/games/1/88e3aed5814ef0e900d27af955a65bc6-98.jpg
Batman: Arkham Knight,87,7.9,PlayStation 4,June 23, 2015,/game/playstation-4/batman-arkham-knight,https://static.metacritic.com/images/products/games/4/3748c5ef059e99cad03237ba33949409-98.jpg
Marvel's Spider-Man,87,8.7,PlayStation 4,September 7, 2018,/game/playstation-4/marvels-spider-man,https://static.metacritic.com/images/products/games/6/ed190baf9e24c7373ba6b5533ed31eda-98.jpg
Okami HD,87,8.2,PlayStation 4,December 12, 2017,/game/playstation-4/okami-hd,https://static.metacritic.com/images/products/games/9/9a15c8d244ba9272fea0034cd196a248-98.jpg
TowerFall Ascension,87,7.0,PlayStation 4,March 11, 2014,/game/playstation-4/towerfall-ascension,https://static.metacritic.com/images/products/games/1/9311ea8093d30f14460261315f90bb8d-98.jpg
Monster Boy and the Cursed Kingdom,87,8.0,PlayStation 4,December 4, 2018,/game/playstation-4/monster-boy-and-the-cursed-kingdom,https://static.metacritic.com/images/products/games/4/81cc2582fec32adb42c768dfffa6c021-98.jpg
FIFA 14,87,6.3,PlayStation 4,November 12, 2013,/game/playstation-4/fifa-14,https://static.metacritic.com/images/products/games/5/d653953db2613210718bce351944ba6c-98.jpg
DOOM Eternal,87,8.9,PlayStation 4,March 20, 2020,/game/playstation-4/doom-eternal,https://static.metacritic.com/images/products/games/6/3a99440dc8efd4b087dc5c2f08a97ee0-98.jpg
Pro Evolution Soccer 2016,87,7.2,PlayStation 4,September 15, 2015,/game/playstation-4/pro-evolution-soccer-2016,https://static.metacritic.com/images/products/games/2/adb11404e1bd7716ba8ab8363ee32472-98.jpg
Zero Escape: The Nonary Games,87,8.2,PlayStation 4,March 24, 2017,/game/playstation-4/zero-escape-the-nonary-games,https://static.metacritic.com/images/products/games/5/2076b7b23b28ef6d3bfc3a181d585df7-98.jpg
Wolfenstein II: The New Colossus,87,7.3,PlayStation 4,October 27, 2017,/game/playstation-4/wolfenstein-ii-the-new-colossus,https://static.metacritic.com/images/products/games/0/b3c6bc64a3458dbfde65f18fb44500ff-98.jpg
Odin Sphere Leifthrasir,87,8.2,PlayStation 4,June 7, 2016,/game/playstation-4/odin-sphere-leifthrasir,https://static.metacritic.com/images/products/games/2/523651ab22e06912cabf570006596fcc-98.jpg
Dark Souls II: Scholar of the First Sin,87,7.8,PlayStation 4,April 7, 2015,/game/playstation-4/dark-souls-ii-scholar-of-the-first-sin,https://static.metacritic.com/images/products/games/0/2d63bdf59528ea52e257f05547b2885e-98.jpg
Mass Effect Legendary Edition,87,5.6,PlayStation 4,May 14, 2021,/game/playstation-4/mass-effect-legendary-edition,https://static.metacritic.com/images/products/games/4/b7c8b6aa216f3877ffd0c36ee3e9a7a5-98.jpg
Sonic Mania Plus,87,7.7,PlayStation 4,July 17, 2018,/game/playstation-4/sonic-mania-plus,https://static.metacritic.com/images/products/games/4/2e95365b2c8822f4a88654bef572771e-98.jpg
NBA 2K16,87,6.7,PlayStation 4,September 25, 2015,/game/playstation-4/nba-2k16,https://static.metacritic.com/images/products/games/9/bfd89f8e33d35b3bc55e12397956d96b-98.jpg
Spelunky 2,87,8.2,PlayStation 4,September 15, 2020,/game/playstation-4/spelunky-2,https://static.metacritic.com/images/products/games/9/d031b7ec2b9f27297bd7d55bccc8e841-98.jpg
Fallout 4,87,6.7,PlayStation 4,November 10, 2015,/game/playstation-4/fallout-4,https://static.metacritic.com/images/products/games/7/cb580ff127697995b5613abcd28adff2-98.jpg
Uncharted: The Nathan Drake Collection,86,8.6,PlayStation 4,October 9, 2015,/game/playstation-4/uncharted-the-nathan-drake-collection,https://static.metacritic.com/images/products/games/1/1af6cd8464d45ec0c5591984d745e5be-98.jpg
Tales from the Borderlands: A Telltale Game Series,86,8.1,PlayStation 4,October 20, 2015,/game/playstation-4/tales-from-the-borderlands-a-telltale-game-series,https://static.metacritic.com/images/products/games/3/c50b5a10cb4c49160568147683de5af5-98.jpg
F1 2017,86,7.5,PlayStation 4,August 25, 2017,/game/playstation-4/f1-2017,https://static.metacritic.com/images/products/games/3/72356e903cf71d84e0afcce79ad8dc8e-98.jpg
Velocity 2X,86,6.9,PlayStation 4,September 2, 2014,/game/playstation-4/velocity-2x,https://static.metacritic.com/images/products/games/6/e4c3f93c1df6ab5fdbf092a4131c4ba8-98.jpg
Stardew Valley,86,7.9,PlayStation 4,December 13, 2016,/game/playstation-4/stardew-valley,https://static.metacritic.com/images/products/games/3/5162aaf6f3c4f681f96d431e4ec21c96-98.jpg
F1 2020,86,7.7,PlayStation 4,July 6, 2020,/game/playstation-4/f1-2020,https://static.metacritic.com/images/products/games/0/a6b5c97bd1982a9bf6de744278b973fe-98.jpg
